inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,safety_stock,damaged_stock,last_updated
I1,P684,W1743,763,128,23,0,2025-08-07
I2,P2388,W7974,642,182,29,16,2025-10-01
I3,P9410,W6381,250,69,83,14,2025-10-28
I4,P5031,W8795,723,187,41,11,2026-01-07
I5,P2663,W4316,663,116,70,5,2025-11-03
I6,P2762,W2985,470,17,96,11,2025-09-01
I7,P6868,W6130,59,103,91,5,2025-08-21
I8,P1331,W9344,373,160,18,1,2026-01-22
I9,P5145,W9353,398,85,25,6,2025-12-21
I10,P5818,W7896,11,98,83,14,2025-12-09
I11,P9655,W8948,905,12,70,16,2026-03-28
I12,P6085,W2094,785,97,65,1,2025-10-13
I13,P6626,W308,340,83,89,10,2026-03-26
I14,P496,W6877,642,64,34,11,2025-12-19
I15,P9744,W1150,802,85,13,17,2025-11-16
I16,P5687,W9508,520,153,12,7,2025-07-09
I17,P3085,W172,920,134,62,2,2026-05-17
I18,P4578,W6248,993,130,11,16,2026-03-13
I19,P9476,W7977,300,168,45,3,2026-04-13
I20,P7060,W4162,716,24,76,9,2026-01-29
I21,P5579,W814,442,30,44,4,2026-01-28
I22,P7091,W3773,16,160,86,18,2026-02-14
I23,P7003,W9692,355,99,11,16,2025-12-14
I24,P5760,W1178,694,103,73,15,2026-03-03
I25,P4793,W4549,506,33,8,17,2025-08-07
I26,P137,W9936,445,127,50,12,2025-07-07
I27,P8015,W1744,64,79,60,19,2025-08-23
I28,P31,W1150,608,127,50,7,2026-02-06
I29,P4590,W1813,237,10,93,5,2025-10-14
I30,P3591,W2740,433,190,66,5,2025-06-09
I31,P1499,W3101,413,73,95,17,2025-11-30
I32,P9866,W8040,76,104,44,6,2025-06-23
I33,P8530,W8021,183,92,94,1,2025-09-16
I34,P4685,W6960,842,156,89,9,2026-02-09
I35,P6960,W4125,815,190,54,2,2025-09-07
I36,P9040,W6952,746,14,21,6,2025-10-07
I37,P1010,W7443,758,199,93,5,2025-06-07
