product_id,product_name,category,brand,cost_price,selling_price
P1,Always Product,Accessories,Boat,36608,37402
P2,Develop Product,Electronics,HP,26566,39900
P3,Season Product,Furniture,Samsung,49740,53031
P4,Wide Product,Electronics,Dell,18505,30989
P5,Identify Product,Office,Samsung,8115,18679
P6,Establish Product,Appliances,Samsung,27230,32538
P7,Skill Product,Accessories,IKEA,3231,14474
P8,Out Product,Accessories,Dell,16900,17581
P9,Reach Product,Appliances,HP,43547,50823
P10,Peace Product,Office,HP,39230,40998
P11,Ready Product,Furniture,Boat,19721,34689
P12,Fund Product,Furniture,Samsung,38634,39962
P13,Before Product,Office,Boat,13821,25802
P14,Decision Product,Furniture,Boat,22112,32852
P15,Culture Product,Furniture,Boat,40779,43280
P16,Play Product,Office,Boat,28292,34884
P17,High Product,Furniture,Samsung,36591,41698
P18,Head Product,Electronics,Lenovo,26720,35959
P19,Free Product,Office,Boat,42863,50096
P20,Bar Product,Office,Lenovo,30459,33860
P21,Out Product,Electronics,Dell,14705,22263
P22,Thought Product,Furniture,HP,20260,21925
P23,Return Product,Office,Sony,8618,21406
P24,Style Product,Appliances,Dell,39953,44135
P25,Hold Product,Appliances,Boat,11437,17613
P26,Baby Product,Appliances,Dell,36321,41209
P27,One Product,Electronics,Sony,20666,22723
P28,Line Product,Electronics,Dell,41643,49492
P29,It Product,Accessories,HP,21862,28251
P30,Store Product,Appliances,IKEA,28715,39355
P31,Gun Product,Electronics,Boat,18523,26344
P32,Pay Product,Accessories,Samsung,5749,13937
P33,Bank Product,Furniture,Dell,37734,48469
P34,Attention Product,Accessories,HP,31955,41665
P35,Whether Product,Appliances,IKEA,33109,42861
P36,Choose Product,Furniture,HP,49137,57713
P37,About Product,Accessories,IKEA,742,4020
P38,Memory Product,Furniture,Dell,18163,26380
P39,Him Product,Furniture,Sony,23443,37860
P40,Model Product,Office,Boat,46907,51968
P41,Kitchen Product,Electronics,HP,29303,39697
P42,Expert Product,Electronics,Boat,7705,22131
P43,Than Product,Electronics,Sony,15792,18189
P44,Ask Product,Office,Boat,22191,28223
P45,Indicate Product,Furniture,IKEA,24650,36105
P46,Hit Product,Appliances,HP,2147,12706
P47,Music Product,Appliances,Dell,17619,31557
P48,Answer Product,Electronics,Sony,39148,53763
P49,Step Product,Electronics,Dell,14741,29041
P50,Pressure Product,Appliances,HP,16025,25292
P51,Rather Product,Accessories,HP,47853,49904
P52,Management Product,Furniture,Samsung,19069,22275
P53,Walk Product,Office,IKEA,17190,20328
P54,Future Product,Accessories,Boat,40728,48880
P55,Term Product,Office,HP,10434,24032
P56,Near Product,Accessories,IKEA,8258,13916
P57,Decision Product,Electronics,Dell,44871,47533
P58,Writer Product,Electronics,HP,19838,23211
P59,Yes Product,Accessories,Sony,33061,38281
P60,Than Product,Office,Sony,27487,37127
P61,Star Product,Appliances,IKEA,49005,57026
P62,Manager Product,Electronics,Sony,2668,10005
P63,Glass Product,Office,HP,20588,31384
P64,Discover Product,Appliances,Boat,49475,58834
P65,Present Product,Office,Sony,25146,37298
P66,Should Product,Appliances,Boat,15477,19695
P67,Home Product,Electronics,IKEA,40228,51885
P68,Dog Product,Appliances,HP,3971,8029
P69,Paper Product,Furniture,HP,46447,48091
P70,Cultural Product,Appliances,Lenovo,11196,12937
P71,Analysis Product,Accessories,Sony,13938,21207
P72,Challenge Product,Accessories,HP,46741,49171
P73,Myself Product,Accessories,IKEA,34715,41615
P74,Dog Product,Furniture,Boat,32445,39356
P75,Final Product,Furniture,Sony,46808,57601
P76,Spring Product,Electronics,Samsung,49272,50250
P77,Her Product,Office,Boat,38908,51521
P78,Knowledge Product,Office,HP,24007,25482
P79,Line Product,Appliances,HP,6996,16892
P80,To Product,Appliances,Dell,3887,12262
P81,Memory Product,Office,HP,24798,31994
P82,Explain Product,Furniture,IKEA,28710,40305
P83,Home Product,Furniture,Sony,28080,40623
P84,All Product,Appliances,Lenovo,16078,16998
P85,Improve Product,Accessories,IKEA,12492,19489
