sale_id,product_id,customer_id,quantity_sold,sale_date,revenue,discount,region
S1,P157,C3284,16,2025-10-23,767968,5,Bangalore
S2,P1377,C3001,13,2024-12-11,641862,0,Mumbai
S3,P6510,C1668,4,2025-06-26,186416,15,Jaipur
S4,P9777,C6711,5,2025-07-01,216990,5,Pune
S5,P3429,C1077,13,2024-06-21,311896,10,Bangalore
S6,P4046,C1335,5,2026-01-18,157160,15,Chandigarh
S7,P7219,C3198,6,2024-10-09,139698,0,Delhi
S8,P4608,C373,19,2025-08-09,712728,0,Jaipur
S9,P747,C3232,14,2024-08-05,448854,10,Mumbai
S10,P219,C6439,14,2025-01-19,504182,5,Jaipur
S11,P4341,C1136,17,2024-10-19,722262,5,Delhi
S12,P6073,C9308,20,2026-02-28,66180,5,Bangalore
S13,P9371,C2961,1,2024-07-06,44949,0,Bangalore
S14,P757,C8424,6,2025-01-30,137532,15,Mumbai
S15,P3735,C5429,5,2025-07-28,245640,5,Bangalore
S16,P7741,C3063,12,2025-02-24,292044,10,Bangalore
S17,P7096,C2215,1,2025-09-12,47387,15,Jaipur
S18,P9356,C6641,8,2025-10-16,273616,5,Chandigarh
S19,P2614,C3249,1,2026-02-28,3490,5,Pune
S20,P397,C4870,3,2025-01-29,129525,15,Mumbai
S21,P2308,C7773,8,2025-08-26,362200,5,Pune
S22,P8309,C8973,3,2026-03-02,100506,0,Delhi
S23,P4696,C547,4,2025-02-01,153056,10,Delhi
S24,P5137,C7651,13,2025-05-29,520676,5,Mumbai
S25,P4917,C3781,14,2024-09-18,205198,10,Pune
S26,P366,C9306,12,2025-05-21,308592,0,Mumbai
S27,P6653,C5077,6,2026-02-18,247818,10,Jaipur
S28,P2772,C9748,17,2024-07-12,682057,0,Jaipur
S29,P1403,C2097,15,2024-10-23,229500,0,Jaipur
S30,P7655,C8624,8,2026-02-15,31208,5,Chandigarh
S31,P2823,C7805,8,2024-10-26,395288,15,Jaipur
S32,P7489,C6776,4,2025-11-03,164492,5,Mumbai
S33,P1754,C9251,4,2026-02-15,105172,5,Bangalore
S34,P8056,C2703,18,2026-04-23,720036,0,Chandigarh
S35,P9119,C6219,12,2025-12-10,577812,15,Delhi
S36,P9148,C8685,1,2026-02-04,1748,5,Jaipur
S37,P3100,C5192,2,2026-03-30,64338,0,Jaipur
S38,P5686,C9122,6,2026-01-16,170394,15,Pune
S39,P4405,C8452,16,2025-05-25,430080,10,Jaipur
S40,P5427,C3744,9,2025-02-17,362691,10,Delhi
S41,P4952,C6389,14,2025-01-11,448000,15,Chandigarh
S42,P7570,C1675,8,2026-03-14,324160,0,Delhi
S43,P1753,C9290,12,2024-06-20,250104,0,Bangalore
S44,P4509,C2817,8,2025-11-20,281848,10,Delhi
S45,P6896,C218,12,2026-01-05,267744,5,Chandigarh
S46,P1046,C9032,20,2025-11-10,254440,0,Pune
S47,P4721,C7313,4,2025-11-03,78532,10,Jaipur
S48,P4771,C990,19,2024-08-23,439394,10,Mumbai
S49,P3116,C3018,6,2024-12-13,134748,10,Mumbai
S50,P8062,C6614,19,2026-01-07,389500,5,Mumbai
S51,P8046,C4945,1,2024-08-21,41906,10,Delhi
S52,P6991,C8464,10,2024-09-22,194230,0,Pune
S53,P61,C1003,17,2025-04-15,352342,5,Bangalore
S54,P3140,C7570,5,2026-05-25,131765,10,Chandigarh
S55,P8836,C1688,14,2025-10-02,620872,15,Chandigarh
S56,P4796,C607,8,2026-04-22,166296,5,Jaipur
S57,P6122,C1671,3,2026-02-20,37551,15,Pune
S58,P3308,C4000,18,2025-11-17,155592,0,Mumbai
S59,P612,C854,9,2024-09-11,327483,15,Pune
S60,P3698,C9803,15,2024-12-18,615285,0,Chandigarh
S61,P2000,C280,1,2025-04-24,33837,15,Chandigarh
S62,P203,C80,10,2026-05-15,189900,5,Bangalore
S63,P3290,C1840,2,2025-01-31,83528,0,Bangalore
S64,P755,C752,19,2025-11-10,500023,10,Jaipur
S65,P7171,C5298,8,2024-12-03,372672,0,Jaipur
S66,P6903,C5305,17,2026-02-12,438005,0,Mumbai
S67,P4903,C6565,4,2024-09-06,14832,0,Chandigarh
S68,P8256,C7582,3,2024-09-28,91929,5,Mumbai
S69,P410,C9702,16,2024-07-01,719936,0,Mumbai
S70,P2561,C8121,12,2026-01-07,365280,0,Bangalore
S71,P1371,C8647,10,2025-04-28,34060,5,Delhi
S72,P4274,C7832,20,2024-11-18,257500,10,Chandigarh
S73,P3701,C3584,14,2026-02-21,422184,15,Jaipur
S74,P6621,C1052,15,2026-03-22,269820,10,Delhi
S75,P2697,C9371,5,2025-10-31,143265,10,Chandigarh
S76,P7494,C6398,3,2024-07-13,140148,0,Mumbai
S77,P1674,C3414,2,2024-12-03,5328,10,Mumbai
S78,P1384,C8408,6,2025-07-22,181410,5,Mumbai
S79,P6104,C1369,9,2026-04-23,260649,15,Delhi
S80,P8659,C2282,10,2025-05-30,338780,10,Mumbai
S81,P5762,C4307,9,2025-07-08,179451,15,Mumbai
S82,P5357,C7363,10,2025-03-14,114620,0,Chandigarh
S83,P5725,C149,4,2025-07-19,86684,0,Bangalore
S84,P638,C3251,18,2025-02-25,886896,10,Bangalore
S85,P9890,C8139,12,2026-01-18,66780,0,Pune
S86,P9575,C4529,8,2024-11-28,106112,10,Jaipur
S87,P4067,C9683,16,2026-05-28,680048,15,Bangalore
S88,P8199,C3930,15,2024-07-30,438270,10,Delhi
S89,P4658,C4436,16,2025-10-22,205168,0,Delhi
S90,P8842,C6866,12,2024-08-22,585948,10,Mumbai
