supplier_id,supplier_name,product_id,lead_time,supplier_rating
SUP1,Allen-Martin,P9313,8,3.9
SUP2,Combs Group,P2249,5,4.0
SUP3,Hart-Gonzalez,P9038,17,4.6
SUP4,Douglas-Martin,P8485,8,3.8
SUP5,Chen and Sons,P8838,17,3.4
SUP6,Alvarez and Sons,P1590,3,3.0
SUP7,Hunt-Garcia,P354,16,3.1
SUP8,Velazquez Ltd,P4552,11,3.2
SUP9,Myers LLC,P2326,18,3.1
SUP10,Reeves Group,P2644,20,2.7
SUP11,Smith PLC,P1794,6,2.6
SUP12,Day and Sons,P3521,15,4.8
SUP13,Walker Ltd,P7423,11,4.0
SUP14,Gates-Ray,P3199,10,4.9
SUP15,"Tran, Grant and Adams",P1392,6,3.1
SUP16,"Cain, Robinson and Kline",P970,10,3.0
SUP17,May PLC,P258,16,4.7
SUP18,Ramirez-Sellers,P202,6,4.9
SUP19,"Tran, Ross and Hayes",P4717,16,2.7
SUP20,"Rivera, Franklin and Dominguez",P7479,9,3.6
SUP21,Bautista LLC,P641,12,3.3
SUP22,King-Garcia,P2336,9,3.9
SUP23,Johnson-Hernandez,P8025,6,4.9
SUP24,Yu Ltd,P1131,9,2.6
SUP25,Obrien Group,P5376,10,3.2
SUP26,"Long, Henry and Hunter",P6961,12,3.4
SUP27,Scott Group,P9477,3,2.7
SUP28,Jennings-Williams,P7785,8,3.5
SUP29,Lee Ltd,P3454,11,4.4
SUP30,Zimmerman-Levine,P3714,16,2.6
SUP31,Stafford-Jones,P1345,3,3.8
SUP32,Walker-Li,P7410,19,2.6
SUP33,Valentine-Maldonado,P5360,6,3.8
SUP34,Castro Group,P5169,9,4.5
SUP35,"Smith, Lewis and Flores",P8800,15,3.0
SUP36,Ross-Atkins,P4173,14,2.8
SUP37,"Williamson, Green and Keith",P3727,4,3.2
SUP38,Castro and Sons,P9170,12,4.0
SUP39,Ruiz Ltd,P2456,3,4.2
SUP40,"Brooks, Hendricks and Day",P5723,11,3.0
SUP41,Ashley Inc,P4940,14,4.6
SUP42,Hernandez Ltd,P3275,4,4.5
SUP43,Griffith Inc,P1641,9,3.1
SUP44,"Green, Chan and Mathews",P7480,13,4.5
SUP45,"Rodriguez, Long and Elliott",P5443,10,5.0
SUP46,Parker-Ross,P3017,4,3.8
SUP47,"Garcia, Lambert and Miller",P3071,8,4.5
SUP48,Caldwell-Nelson,P8328,14,3.4
SUP49,"Lucas, Gibson and Oliver",P6276,6,2.8
SUP50,Vargas-Young,P6843,13,4.4
SUP51,"Morales, Owens and Mcgrath",P69,4,4.4
SUP52,Hudson LLC,P2822,14,4.0
SUP53,Walker-Kirby,P2119,15,3.0
SUP54,Whitaker Group,P974,2,4.5
SUP55,Hansen LLC,P9402,15,4.2
SUP56,Burnett Ltd,P1310,3,4.9
SUP57,Bell LLC,P3563,7,3.5
SUP58,Daniels Inc,P742,8,3.2
SUP59,"Johnson, Morales and Coleman",P3068,14,4.4
SUP60,Sosa LLC,P6497,16,2.8
SUP61,Rowe-Murphy,P9210,10,2.7
SUP62,"Garcia, Fowler and Obrien",P3213,3,4.3
SUP63,Richards Inc,P5183,13,2.9
SUP64,Sherman Inc,P8203,2,4.0
SUP65,Marquez-Baker,P9788,9,3.4
SUP66,Alvarez-Joseph,P3879,12,3.0
SUP67,"Morales, Chan and Owens",P1704,15,2.6
SUP68,Liu-Curry,P8496,17,4.7
SUP69,Esparza Inc,P8874,7,4.3
SUP70,Lopez-Cline,P3799,2,4.8
SUP71,Peterson-Ross,P8503,17,5.0
SUP72,Clark-Weiss,P6234,14,2.7
SUP73,Williams-Nguyen,P3620,16,4.6
SUP74,Bray PLC,P353,17,2.7
SUP75,Bowman PLC,P9155,7,3.7
SUP76,Wall Inc,P1892,8,2.5
SUP77,Stark Group,P7311,4,2.9
SUP78,Washington-Wallace,P3381,19,3.7
SUP79,Mitchell PLC,P6943,7,2.7
SUP80,Rodriguez-Mendoza,P3530,13,3.2
SUP81,Medina-Marshall,P5605,6,3.1
SUP82,"Moore, Lopez and Rivera",P8863,2,3.7
SUP83,Mathews and Sons,P7260,13,4.4
SUP84,"Mendoza, Murray and Beard",P3998,6,4.4
SUP85,"Medina, Nguyen and Perez",P3707,12,3.2
SUP86,Campbell-Moore,P7003,10,2.8
SUP87,Rowe-Cohen,P3612,14,3.8
SUP88,"Allen, Jackson and Smith",P929,4,4.6
SUP89,"Vasquez, Young and Alexander",P6756,17,4.8
SUP90,Reynolds PLC,P7586,17,4.3
SUP91,"Pena, Petty and Mcgrath",P9636,14,3.3
SUP92,"Jones, Parks and Franklin",P2541,20,4.9
SUP93,Hodges-Thomas,P8728,3,3.6
SUP94,Black Ltd,P9793,17,4.4
SUP95,Compton-Santos,P8050,13,4.1
SUP96,"Peterson, Castro and Price",P2827,18,4.9
SUP97,Watson-Huff,P4584,16,4.2
SUP98,"Woods, Williams and Bishop",P3430,19,4.6
SUP99,"Dennis, Ramirez and Mora",P5663,6,4.8
SUP100,"Andersen, Henderson and Lopez",P3497,4,4.7
SUP101,Petersen-Harmon,P2735,10,4.8
SUP102,"Campbell, May and Espinoza",P9574,19,4.2
SUP103,Smith Ltd,P6290,2,4.2
SUP104,Herring LLC,P6536,2,4.2
SUP105,Shaw-Torres,P3797,4,2.6
SUP106,Parker-Bolton,P1490,14,4.3
SUP107,"Cooke, Anderson and Green",P5640,13,4.4
SUP108,"Watson, Snyder and Kim",P1724,16,4.9
SUP109,Clarke-Moreno,P538,8,4.6
SUP110,Figueroa-Browning,P5715,10,2.9
SUP111,Pope LLC,P8696,20,4.5
SUP112,Malone Inc,P5306,9,3.9
SUP113,Bennett Ltd,P1534,6,4.1
SUP114,Jennings Group,P6351,15,3.0
SUP115,Black-Whitaker,P2750,19,4.1
SUP116,Eaton Inc,P154,4,2.5
SUP117,"Powell, Estrada and Wise",P8050,13,3.5
SUP118,Brewer-Davis,P8459,20,4.2
SUP119,Rodriguez Group,P7228,4,3.1
SUP120,Ramirez-Williams,P5232,8,2.9
SUP121,Martin-Torres,P5709,13,2.6
SUP122,Torres-Martin,P1712,19,4.9
SUP123,"Jordan, Espinoza and Brooks",P7602,4,2.9
SUP124,"Pearson, Palmer and Duncan",P8565,7,2.8
SUP125,Dorsey-Klein,P2728,2,3.5
SUP126,"Howard, Curtis and Brown",P7139,12,2.8
SUP127,Ward-King,P9837,19,3.3
SUP128,Herrera PLC,P271,3,4.6
SUP129,Blackburn-Boyd,P2801,6,2.8
SUP130,Hernandez-Franklin,P4216,4,2.7
SUP131,Griffin-Combs,P9580,18,3.0
SUP132,Curry LLC,P6677,20,2.9
SUP133,"Leach, Holland and Rowe",P8918,2,3.9
SUP134,"Mann, Clayton and White",P7645,9,3.5
SUP135,"Torres, Warner and Harper",P3580,13,4.4
SUP136,Mcmahon Group,P6582,15,4.4
SUP137,"Mckinney, Lopez and Castro",P8801,10,4.3
SUP138,Smith Group,P2989,4,3.4
SUP139,Dyer-Mason,P7761,8,3.9
SUP140,"Lopez, Wheeler and Rivera",P630,9,3.1
SUP141,"Pratt, Reynolds and Steele",P1912,4,3.2
SUP142,Martin Inc,P8567,12,2.5
SUP143,"Cruz, Walker and Martinez",P7057,4,2.7
SUP144,Gregory-Flynn,P8179,17,3.1
SUP145,"Vaughn, Parker and Cardenas",P4153,20,5.0
SUP146,Bridges-Sanchez,P2026,4,4.4
SUP147,Wiley-Robertson,P4509,20,3.5
SUP148,"Walter, Bernard and Coleman",P9813,18,2.9
SUP149,Turner-Stephens,P9678,10,3.3
SUP150,Perez Inc,P8023,2,4.1
SUP151,"Weaver, Kelly and Smith",P9183,10,4.1
SUP152,King-Choi,P3884,4,2.6
SUP153,Webster-Ramirez,P9946,20,4.3
SUP154,"Schmidt, Gomez and Francis",P4467,19,4.4
SUP155,Bradley Ltd,P7284,10,5.0
SUP156,Schwartz-Martinez,P3814,2,3.8
SUP157,Flowers Inc,P2875,5,4.8
SUP158,Nichols-Myers,P9960,10,3.9
SUP159,Holmes-Black,P742,10,4.2
SUP160,Noble Group,P3369,9,3.9
SUP161,"Schneider, Pierce and Stewart",P1728,12,2.7
SUP162,Wilson LLC,P8226,9,3.6
SUP163,Peterson-Jordan,P2140,4,2.9
SUP164,Williams-Chung,P4546,15,3.6
SUP165,"Rubio, Jones and Martin",P4083,7,4.2
SUP166,Hood-Good,P4657,10,3.8
SUP167,Smith-Anderson,P9329,11,2.6
SUP168,Wilcox Ltd,P4864,2,3.7
SUP169,Wells LLC,P1261,19,3.8
SUP170,Boyd PLC,P1242,2,3.4
SUP171,Ayers Ltd,P9720,9,3.5
SUP172,Garcia Inc,P2766,9,3.3
SUP173,Edwards-Thomas,P9027,13,4.1
SUP174,Bishop-Frost,P2878,3,3.4
SUP175,"Caldwell, Barnes and Holt",P696,3,4.4
SUP176,Reeves-Hoffman,P4614,13,4.9
SUP177,Torres Ltd,P6,18,2.9
SUP178,Bolton Inc,P8207,20,4.5
SUP179,Collins PLC,P368,7,3.9
SUP180,Howell Ltd,P8698,19,3.6
SUP181,"Cooper, Thompson and Miles",P8889,6,3.6
SUP182,Fox Group,P1720,10,5.0
SUP183,"Hicks, Shaffer and Hall",P4843,9,3.9
SUP184,Vega LLC,P5133,19,3.3
SUP185,"Shepherd, Sexton and Ross",P3188,10,4.0
SUP186,Vaughn Ltd,P3308,4,3.8
SUP187,Phillips-Dillon,P3479,2,2.6
SUP188,Tucker-Mueller,P4479,16,4.5
SUP189,"Spencer, Chambers and Lowe",P4400,4,4.1
SUP190,Carpenter-Carson,P7434,4,3.6
SUP191,"Smith, Moore and Brown",P4431,9,4.2
SUP192,Durham PLC,P1032,15,3.2
SUP193,"Mitchell, Mcintosh and Michael",P5133,18,3.2
SUP194,"Moore, Davenport and Hall",P8273,5,3.3
SUP195,Peterson PLC,P72,10,3.6
SUP196,Wright and Sons,P3707,14,2.6
SUP197,"Chen, Rhodes and Jacobs",P4727,12,4.5
SUP198,Martin PLC,P9695,12,3.9
SUP199,Moore and Sons,P6105,2,3.4
SUP200,"Suarez, Conley and Mccarthy",P2068,18,3.7
SUP201,Turner PLC,P2940,8,4.8
SUP202,Hayes-Evans,P3785,13,3.8
SUP203,"Floyd, Gonzalez and Dawson",P2128,7,5.0
SUP204,Davis Ltd,P1110,3,2.8
SUP205,Morales LLC,P8688,16,2.6
SUP206,Miller PLC,P4028,15,2.9
SUP207,Ferrell-Ross,P6415,15,4.3
SUP208,"Fuentes, Hicks and Ward",P8727,5,2.6
SUP209,Frazier and Sons,P1431,4,4.2
SUP210,Rogers-Lamb,P4221,3,4.4
SUP211,Mckinney LLC,P786,12,3.4
SUP212,Reed-Henderson,P3122,17,2.6
SUP213,Harris PLC,P8313,6,4.7
SUP214,"Smith, Hall and Bell",P6658,11,3.8
SUP215,Fisher Ltd,P6510,2,2.8
SUP216,"Owens, French and Brewer",P9889,15,3.8
SUP217,"Horn, Schwartz and Russell",P1773,20,4.0
SUP218,Moore-Turner,P8538,15,2.8
SUP219,Mcdonald and Sons,P2285,3,3.7
SUP220,"Nguyen, Phillips and Grant",P8266,20,2.8
SUP221,Stuart Inc,P1710,20,3.7
SUP222,Villarreal-Peterson,P431,2,3.0
SUP223,"Garcia, Garcia and Pace",P2023,19,3.0
SUP224,Carr Ltd,P5985,20,3.5
SUP225,"Ruiz, Miller and Lowe",P9250,20,4.1
SUP226,Rodriguez Group,P4311,3,3.1
SUP227,"Wilson, Spears and Barron",P1507,5,3.0
SUP228,"Williams, Ortiz and Brown",P8434,15,3.9
SUP229,Perry-Daniels,P6459,20,4.9
SUP230,Gibson-Dalton,P6336,13,4.2
SUP231,"Martinez, Conner and Stewart",P9235,3,3.1
SUP232,"Reed, Smith and Carroll",P5974,3,4.3
SUP233,Kim-Vasquez,P4349,3,4.4
SUP234,Martinez Ltd,P6676,4,3.3
SUP235,Walker Group,P8476,19,4.8
SUP236,Taylor and Sons,P2890,12,3.4
